SentenceID	Model	Smoothing	LogProbability
1	1-gram	add_one	-52.3607
2	1-gram	add_one	-52.3215
3	1-gram	add_one	-70.2272
4	1-gram	add_one	-62.6813
5	1-gram	add_one	-59.7108
6	1-gram	add_one	-47.2155
7	1-gram	add_one	-61.2950
8	1-gram	add_one	-52.0242
9	1-gram	add_one	-59.3491
10	1-gram	add_one	-59.3854
11	1-gram	add_one	-50.9352
12	1-gram	add_one	-62.6435
13	1-gram	add_one	-53.2770
14	1-gram	add_one	-69.1286
15	1-gram	add_one	-45.8068
16	1-gram	add_one	-53.2770
17	1-gram	add_one	-52.0242
18	1-gram	add_one	-63.3744
19	1-gram	add_one	-63.3744
20	1-gram	add_one	-51.5723
21	1-gram	add_one	-63.3744
22	1-gram	add_one	-50.9352
23	1-gram	add_one	-62.6813
24	1-gram	add_one	-62.1327
25	1-gram	add_one	-61.2572
26	1-gram	add_one	-52.7270
27	1-gram	add_one	-52.7270
28	1-gram	add_one	-51.8107
29	1-gram	add_one	-51.8107
30	1-gram	add_one	-69.1286
31	1-gram	add_one	-52.8715
32	1-gram	add_one	-62.6435
33	1-gram	add_one	-66.2019
34	1-gram	add_one	-62.6435
35	1-gram	add_one	-59.0306
36	1-gram	add_one	-47.2155
37	1-gram	add_one	-62.6813
38	1-gram	add_one	-50.9352
39	1-gram	add_one	-52.7270
40	1-gram	add_one	-48.2176
41	1-gram	add_one	-63.7421
42	1-gram	add_one	-65.9787
43	1-gram	add_one	-62.6435
44	1-gram	add_one	-51.6283
45	1-gram	add_one	-61.9504
46	1-gram	add_one	-67.8293
47	1-gram	add_one	-50.7121
48	1-gram	add_one	-69.5341
49	1-gram	add_one	-53.4201
50	1-gram	add_one	-70.2272
51	1-gram	add_one	-63.3744
52	1-gram	add_one	-63.7421
53	1-gram	add_one	-69.1286
54	1-gram	add_one	-53.9701
55	1-gram	add_one	-62.2758
56	1-gram	add_one	-62.6813
57	1-gram	add_one	-62.2758
58	1-gram	add_one	-52.3215
59	1-gram	add_one	-61.2572
60	1-gram	add_one	-53.4201
61	1-gram	add_one	-51.6283
62	1-gram	add_one	-52.3215
63	1-gram	add_one	-52.3215
64	1-gram	add_one	-69.1286
65	1-gram	add_one	-53.2770
66	1-gram	add_one	-52.8715
67	1-gram	add_one	-52.8715
68	1-gram	add_one	-49.5489
69	1-gram	add_one	-66.5637
70	1-gram	add_one	-53.2770
71	1-gram	add_one	-52.8715
72	1-gram	add_one	-69.5341
73	1-gram	add_one	-48.2176
74	1-gram	add_one	-47.2155
75	1-gram	add_one	-53.4201
76	1-gram	add_one	-61.0718
77	1-gram	add_one	-52.7270
78	1-gram	add_one	-51.8907
79	1-gram	add_one	-47.3109
80	1-gram	add_one	-68.8409
81	1-gram	add_one	-62.6435
82	1-gram	add_one	-53.9701
83	1-gram	add_one	-61.7650
84	1-gram	add_one	-64.3299
85	1-gram	add_one	-63.3744
86	1-gram	add_one	-53.4201
87	1-gram	add_one	-52.7270
88	1-gram	add_one	-61.2950
89	1-gram	add_one	-51.6283
90	1-gram	add_one	-52.3215
91	1-gram	add_one	-52.0242
92	1-gram	add_one	-61.7650
93	1-gram	add_one	-48.2176
94	1-gram	add_one	-49.0634
95	1-gram	add_one	-63.7421
96	1-gram	add_one	-61.9504
97	1-gram	add_one	-49.5489
98	1-gram	add_one	-68.8409
99	1-gram	add_one	-59.1259
100	1-gram	add_one	-52.5839
101	1-gram	add_one	-63.3744
102	1-gram	add_one	-51.6283
103	1-gram	add_one	-53.2770
104	1-gram	add_one	-53.2770
105	1-gram	add_one	-66.2019
106	1-gram	add_one	-59.7108
107	1-gram	add_one	-65.8834
108	1-gram	add_one	-53.4201
109	1-gram	add_one	-68.6178
110	1-gram	add_one	-63.7421
111	1-gram	add_one	-51.0222
112	1-gram	add_one	-63.3744
113	1-gram	add_one	-57.5376
114	1-gram	add_one	-51.8907
115	1-gram	add_one	-61.2572
116	1-gram	add_one	-49.5489
117	1-gram	add_one	-50.9352
118	1-gram	add_one	-52.7270
119	1-gram	add_one	-57.6329
120	1-gram	add_one	-60.6018
121	1-gram	add_one	-52.5839
122	1-gram	add_one	-53.9701
123	1-gram	add_one	-68.6178
124	1-gram	add_one	-50.9352
125	1-gram	add_one	-61.0718
126	1-gram	add_one	-51.0222
127	1-gram	add_one	-70.2272
128	1-gram	add_one	-51.8907
129	1-gram	add_one	-51.8107
130	1-gram	add_one	-64.3299
131	1-gram	add_one	-45.8068
132	1-gram	add_one	-52.3215
133	1-gram	add_one	-68.8409
134	1-gram	add_one	-68.6178
135	1-gram	add_one	-63.7421
136	1-gram	add_one	-53.9701
137	1-gram	add_one	-53.4201
138	1-gram	add_one	-51.1976
139	1-gram	add_one	-52.5839
140	1-gram	add_one	-62.1327
141	1-gram	add_one	-61.2572
142	1-gram	add_one	-63.3744
143	1-gram	add_one	-53.2770
144	1-gram	add_one	-53.4201
145	1-gram	add_one	-51.6283
146	1-gram	add_one	-63.0490
147	1-gram	add_one	-52.8715
148	1-gram	add_one	-63.7421
149	1-gram	add_one	-52.8715
150	1-gram	add_one	-53.9701
151	1-gram	add_one	-50.9352
152	1-gram	add_one	-61.2572
153	1-gram	add_one	-69.5341
154	1-gram	add_one	-52.0242
155	1-gram	add_one	-52.5839
156	1-gram	add_one	-52.8715
157	1-gram	add_one	-69.5341
158	1-gram	add_one	-62.6435
159	1-gram	add_one	-61.2572
160	1-gram	add_one	-53.4201
161	1-gram	add_one	-61.2950
162	1-gram	add_one	-61.7650
163	1-gram	add_one	-50.8552
164	1-gram	add_one	-61.9504
165	1-gram	add_one	-63.0490
166	1-gram	add_one	-63.7799
167	1-gram	add_one	-51.5723
168	1-gram	add_one	-50.9352
169	1-gram	add_one	-61.2950
170	1-gram	add_one	-61.2572
171	1-gram	add_one	-59.9355
172	1-gram	add_one	-47.2155
173	1-gram	add_one	-68.8409
174	1-gram	add_one	-59.3854
175	1-gram	add_one	-68.1478
176	1-gram	add_one	-52.3215
177	1-gram	add_one	-60.6018
178	1-gram	add_one	-67.6623
179	1-gram	add_one	-53.4201
180	1-gram	add_one	-62.6813
181	1-gram	add_one	-59.9355
182	1-gram	add_one	-61.2950
183	1-gram	add_one	-61.4285
184	1-gram	add_one	-63.7421
185	1-gram	add_one	-63.7421
186	1-gram	add_one	-52.0242
187	1-gram	add_one	-45.8068
188	1-gram	add_one	-62.6813
189	1-gram	add_one	-60.6018
190	1-gram	add_one	-63.7421
191	1-gram	add_one	-66.5637
192	1-gram	add_one	-52.3215
193	1-gram	add_one	-61.7650
194	1-gram	add_one	-52.3607
195	1-gram	add_one	-50.9352
196	1-gram	add_one	-63.7421
197	1-gram	add_one	-69.5341
